,j5,j4,j10,j7,j6,j2,j3,j12,j16,j13,j8,j1,j11,j15,j9,j14
j5,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
j4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
j10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
j7,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0
j6,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
j2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
j3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
j12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
j16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
j13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
j8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
j1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
j11,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
j15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
j9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
j14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
